TimeStamp,head_x,head_y,head_z,head_pitch,head_yaw,head_roll,left_c_x,left_c_y,left_c_z,left_c_pitch,left_c_yaw,left_c_roll,right_c_x,right_c_y,right_c_z,right_c_pitch,right_c_yaw,right_c_roll
02/20/2020 11:27:19,12452.21,152.9331,-2342.605,8.113968,310.2756,359.571,12451.96,152.4621,-2342.483,5.980979,314.3241,93.58492,12452.07,152.4674,-2342.38,3.481546,305.7856,270.2358
02/20/2020 11:27:19,12452.21,152.9331,-2342.605,8.114104,310.2544,359.563,12451.96,152.4621,-2342.483,5.980125,314.3268,93.58762,12452.07,152.4674,-2342.38,3.482222,305.7866,270.2368
02/20/2020 11:27:19,12452.21,152.9332,-2342.605,8.113609,310.2301,359.5788,12451.96,152.4621,-2342.483,5.979081,314.3273,93.57614,12452.07,152.4674,-2342.38,3.481336,305.7863,270.2426
02/20/2020 11:27:19,12452.21,152.9332,-2342.605,8.133888,310.2004,359.6065,12451.96,152.462,-2342.483,5.976942,314.3204,93.56454,12452.07,152.4674,-2342.38,3.484426,305.7773,270.244
02/20/2020 11:27:19,12452.21,152.9332,-2342.605,8.116563,310.1644,359.6303,12451.96,152.462,-2342.483,5.973008,314.3178,93.56205,12452.07,152.4673,-2342.38,3.486181,305.7664,270.2449
02/20/2020 11:27:19,12452.21,152.9332,-2342.605,8.095317,310.1577,359.6083,12451.96,152.4619,-2342.483,5.971676,314.3149,93.57041,12452.07,152.4673,-2342.38,3.48066,305.7573,270.252
02/20/2020 11:27:19,12452.22,152.9333,-2342.605,8.076907,310.1597,359.5771,12451.96,152.4619,-2342.483,5.974754,314.3069,93.57541,12452.07,152.4673,-2342.38,3.479285,305.7503,270.2621
02/20/2020 11:27:19,12452.21,152.9334,-2342.605,8.056766,310.1682,359.5734,12451.96,152.4619,-2342.483,5.977602,314.305,93.58195,12452.07,152.4673,-2342.38,3.478539,305.7459,270.2807
02/20/2020 11:27:19,12452.22,152.9333,-2342.605,8.046592,310.1759,359.5997,12451.96,152.4618,-2342.483,5.974533,314.3072,93.58722,12452.07,152.4672,-2342.38,3.478267,305.7444,270.292
02/20/2020 11:27:19,12452.22,152.9332,-2342.605,8.029813,310.1877,359.6447,12451.96,152.4618,-2342.483,5.973907,314.3136,93.58778,12452.07,152.4672,-2342.38,3.473198,305.7401,270.312
